ID,Customer_ID,Month,Name,Age,SSN,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
0x288a,CUS_0x20e0,May,Anjuliy,5639,079-99-9062,Media_Manager,12943.475,1327.6229166666667,5,5,9,6,"Credit-Builder Loan, Student Loan, Not Specified, Personal Loan, Payday Loan, and Payday Loan",20,4126,10.6,6.0,Standard,265.36,35.94992680069645,7 Years and 1 Months,Yes,45.09082980503126,158.6784724402267,!@9#%8,218.99298942140868,Standard
0x4882,CUS_0x7ae7,May,Jasonx,14,806-22-1138,Entrepreneur,18235.61_,,8,6,9,2,"Personal Loan, and Payday Loan",24,13,8.29,4.0,_,1259.92,25.187173298222906,10 Years and 0 Months,Yes,22.99100814982672,172.2443231126299,Low_spent_Small_value_payments,226.12808540421003,Standard
0x3eef,CUS_0x9e13,February,Samuelx,-500,337-04-8503,Musician,146598.88,12357.573333333336,0,6,989,2,"Personal Loan, and Student Loan",13,,1.97,0.0,Good,1294.06,37.13533745113608,19 Years and 10 Months,No,215.19491079785755,468.89026039971685,High_spent_Medium_value_payments,801.672162135759,Standard
0x5841,CUS_0x4e8c,April,Diane Bartzq,19,#F%$D@*&8,Developer,13754.5,1261.2083333333333,4,667,5,6,"Student Loan, Not Specified, Personal Loan, Mortgage Loan, Home Equity Loan, and Mortgage Loan",6,12,16.85,8.0,Standard,39.59,32.76079300286597,6 Years and 10 Months,Yes,61.012321786450606,70.05063435014918,Low_spent_Small_value_payments,285.0578771967336,Good
0x584c,CUS_0x4333,March,Annax,25,390-87-7365,Developer,116809.0,,3,1,3,3,"Debt Consolidation Loan, Credit-Builder Loan, and Not Specified",3,5,6.73,3.0,Good,1312.44,30.463901424037253,18 Years and 5 Months,No,191.675705460367,281.5211627111512,High_spent_Medium_value_payments,758.0114651618152,Good
0x2603,CUS_0x9783,June,Luciac,40,360-46-5304,Accountant,60843.33,4902.2775,4,6,14,3,"Student Loan, Auto Loan, and Payday Loan",22,19,19.42,11.0,Standard,1494.43,36.239322953893755,20 Years and 4 Months,NM,28043.0,82.50761512339602,High_spent_Medium_value_payments,505.74128534021935,Standard
0x4876,CUS_0x66a7,May,Karenu,41,041-64-1188,Lawyer,36963.52,,9,10,23,8,"Not Specified, Debt Consolidation Loan, Payday Loan, Payday Loan, Home Equity Loan, Student Loan, Credit-Builder Loan, and Mortgage Loan",54,26,4.27,17.0,Bad,2518.8,27.966969721954253,13 Years and 7 Months,Yes,203.6009926540305,73.13368353784436,Low_spent_Large_value_payments,283.49465714145845,Poor
0x5049,CUS_0xa2b2,April,Pedro Nicolaciz,53,753-72-2651,Manager,71305.22,5914.1016666666665,8,4,18,0,,15,15_,8.49,2372.0,Standard,1004.26,35.06227132035591,23 Years and 1 Months,No,0.0,270.20279317442004,Low_spent_Medium_value_payments,601.2073734922468,Standard
0x1c64,CUS_0xb288,March,Nicolacir,44,390-44-4596,Journalist,126006.68,10693.556666666664,4,3,20,3,"Personal Loan, Home Equity Loan, and Debt Consolidation Loan",16,12_,7.28,0.0,Standard,385.8,30.68741311246648,26 Years and 1 Months,Yes,239.7673292742656,264.1068677879902,Low_spent_Large_value_payments,835.4814696044107,Standard
0x1e55,CUS_0xc51,August,Danv,19,269-33-7962,Teacher,11970.955,1169.5795833333332,8,183,7,2,"Payday Loan, and Credit-Builder Loan",26,,4.72,1.0,Standard,889.62,30.744100601662588,26 Years and 6 Months,No,14.885194696934185,39.11298920131493,High_spent_Small_value_payments,322.95977443508417,Standard
0x585b,CUS_0x88f6,June,Tom Polansekt,29,370-16-9207,Teacher,8949.695,,8,9,18,9,"Auto Loan, Credit-Builder Loan, Payday Loan, Student Loan, Not Specified, Personal Loan, Personal Loan, Personal Loan, and Auto Loan",27,21,8.47,10.0,Bad,4313.93,30.268115316716727,11 Years and 10 Months,Yes,37.09661425548624,35.338061067092035,Low_spent_Small_value_payments,275.2461163440884,Standard
0x2504,CUS_0x3b3f,March,,31,876-41-0796,Manager,14884.465,1538.3720833333334,8,5,1,4,"Not Specified, Not Specified, Home Equity Loan, and Student Loan",25,17,6.79,4.0,Good,1122.86,35.54806105105894,NA,No,37.78683849202279,171.71022972890694,Low_spent_Small_value_payments,234.34014011240365,Standard
0x60bd,CUS_0x4b6a,April,Kristenx,30,560-37-5114,Developer,8958.715,822.5595833333333,4,7,1117,4,"Not Specified, Not Specified, Auto Loan, and Home Equity Loan",7,9,14.49,9.0,Standard,2133.24,29.691085254588465,19 Years and 10 Months,Yes,23.253705052283944,47.32444852967394,Low_spent_Large_value_payments,281.67780475137545,Standard
0x3744,CUS_0x5718,July,Sumantax,651,888-84-4641,Media_Manager,15688.25,1447.354166666667,4,7,12,2,"Personal Loan, and Credit-Builder Loan",5,10,17.34,3.0,Standard,1029.41,31.200716271705453,18 Years and 11 Months,Yes,19.371722393152822,58.039085563149776,High_spent_Medium_value_payments,317.3246087103641,Standard
0x2296,CUS_0x5228,May,Poornima Guptax,16,112-22-2857,Mechanic,55558.71_,4336.8925,803,5,32,7,"Not Specified, Payday Loan, Mortgage Loan, Not Specified, Payday Loan, Home Equity Loan, and Debt Consolidation Loan",21,18,19.59,13.0,Bad,4196.17,31.293561380048214,13 Years and 8 Months,Yes,210.1897086921503,58.78560744344513,High_spent_Medium_value_payments,414.7139338644045,Poor
0x17ef,CUS_0x6a1b,February,Toonkeln,33,252-50-2326,Accountant,30788.44,,7,9,31,6,"Credit-Builder Loan, Payday Loan, Home Equity Loan, Credit-Builder Loan, Personal Loan, and Credit-Builder Loan",49,20,21.73,9.0,Bad,3470.08,39.7416997740354,1 Years and 3 Months,Yes,114.533020898938,53.6486433406095,High_spent_Medium_value_payments,344.1886690937858,Standard
0x6137,CUS_0x4d4d,June,Stempeld,29_,119-11-5194,Mechanic,33900.04,2776.0033333333336,6,5,12,3,"Personal Loan, Debt Consolidation Loan, and Mortgage Loan",21,20,16.38,5.0,Standard,593.26,31.5828844001832,19 Years and 1 Months,Yes,57.14005950839214,101.97826697520651,Low_spent_Medium_value_payments,398.48200684973466,Standard
0x1c42,CUS_0x3b88,May,,-500,944-94-9536,Scientist,19065.32,1497.7766666666666,3,6,5,5,"Not Specified, Student Loan, Home Equity Loan, Personal Loan, and Personal Loan",23,14,7.81,5.0,Standard,2008.06,30.09094621339511,16 Years and 11 Months,Yes,76.21247400832009,166.24444087254918,Low_spent_Small_value_payments,197.32075178579743,Standard
0x5692,CUS_0x5a7b,May,Poornimaj,19,935-59-4707,Developer,61319.37,,8,10,16,7,"Personal Loan, Auto Loan, Debt Consolidation Loan, Auto Loan, Credit-Builder Loan, Credit-Builder Loan, and Not Specified",56,19,5.65,,Bad,2329.84,32.97494900087697,6 Years and 3 Months,Yes,243.64616979626905,212.50697913427854,High_spent_Medium_value_payments,300.44160106945253,Poor
0x22c7,CUS_0xa1d6,June,Damounid,30,751-35-1347,Architect,7103.035,725.9195833333333,6,5,28,6,"Personal Loan, Not Specified, Personal Loan, Personal Loan, Credit-Builder Loan, and Debt Consolidation Loan",55,11,11.95,7.0,Standard,2114.92,40.6990160076861,13 Years and 0 Months,Yes,30.30549812001825,67.23793038142641,Low_spent_Small_value_payments,265.0485298318887,Poor
0x4579,CUS_0x2a61,August,,46,753-68-0048,Teacher,9786.86,951.5716666666667,9,10,1663,2,"Personal Loan, and Student Loan",58,14,15.53,6.0,Standard,2149.9,23.451285243899484,NA,Yes,11.564437453875687,54.46174813453877,Low_spent_Medium_value_payments,309.13098107825226,Poor
0x2304,CUS_0x728f,July,Carewl,52,#F%$D@*&8,_______,32663.41,2879.9508333333333,1,5,3,4,"Personal Loan, Mortgage Loan, Not Specified, and Home Equity Loan",3,5,1.28,2.0,Good,1067.3,35.46636982040075,16 Years and 10 Months,No,55.40536573947087,,High_spent_Medium_value_payments,363.7444650938632,Good
0x4038,CUS_0x5756,July,,41,707-41-4090,Developer,75602.28,6185.19,8,3,2011,4,"Home Equity Loan, Student Loan, Not Specified, and Student Loan",23,13_,3.07,1.0,_,957.62,29.05810113121472,19 Years and 11 Months,No,244.88850016100952,408.4862604635037,High_spent_Small_value_payments,225.14423937548676,Good
0x554a,CUS_0x83dc,January,Joseph Lichtermani,37,404-59-4055,Media_Manager,59759.68,5062.973333333333,10,6,19,6,"Personal Loan, Credit-Builder Loan, Credit-Builder Loan, Mortgage Loan, Mortgage Loan, and Auto Loan",18,20,23.04,9.0,_,3676.39,27.35912650718573,1 Years and 5 Months,Yes,243.22666360378074,286.7861602059608,Low_spent_Small_value_payments,266.2845095235918,Standard
0x25f3,CUS_0x8efa,February,Younga,26,933-08-6838,Entrepreneur,21075.36,1904.28,3,1,5,2,"Credit-Builder Loan, and Credit-Builder Loan",13,5,2.53,6.0,Good,1498.02,32.189947055028036,29 Years and 2 Months,No,19.347311476689374,50.53160002393649,High_spent_Medium_value_payments,370.5490884993741,Standard
0x1def,CUS_0x1e63,February,Aileen Wangy,36,341-75-1132,Musician,10025.2,1089.4333333333334,10,10,21,7,"Credit-Builder Loan, Home Equity Loan, Personal Loan, Auto Loan, Personal Loan, Auto Loan, and Credit-Builder Loan",23,14,16.88,12.0,Standard,1409.58,37.44166625275271,15 Years and 4 Months,Yes,41.43157633631988,__10000__,!@9#%8,290.7693067739349,Poor
0x3deb,CUS_0x8a90,June,Adegokeq,32,717-70-6732,Entrepreneur,69699.66_,5538.305,3,6,5,1_,Debt Consolidation Loan,22,12,2.84,3.0,_,485.36,37.603220733212154,19 Years and 7 Months,Yes,57.27662840553851,269.6916455387807,Low_spent_Medium_value_payments,506.8622260556808,Standard
0x3762,CUS_0x541,January,Paul Carrels,21,313-45-4006,Writer,136680.12,11420.01,0,5,3,-100,Home Equity Loan,-1,1,4.06,0.0,Good,1269.93,34.292225384749955,17 Years and 11 Months,No,112.99543318538583,449.7106352069094,Low_spent_Large_value_payments,849.2949316077048,Good
0x603c,CUS_0xdc2,July,Jennifer Sabaj,16,331-16-1841,Manager,36964.08,3032.067813045661,7,7,3300,7,"Mortgage Loan, Credit-Builder Loan, Student Loan, Payday Loan, Auto Loan, Credit-Builder Loan, and Payday Loan",28,21,23.07,6.0,Bad,4968.99,34.01319680561896,13 Years and 4 Months,Yes,448.0100728581665,146.0678378622802,Low_spent_Small_value_payments,296.42827623389235,Standard
0x4dbe,CUS_0x6e64,January,,38,555-83-9340,Scientist,41176.49,3427.374166666666,0,4,11,2,"Personal Loan, and Credit-Builder Loan",4,4,4.5,3.0,Good,46.05,24.59897193405041,20 Years and 9 Months,No,52.52158963126021,73.4748630548533,High_spent_Small_value_payments,476.7409639805532,Standard
